id,account_id,amount,payee,payee_is_new,timestamp,reference,location_country,location_lat,location_lon,injected_label
syn_428b2a41,SYNTH-011,283.25,Amazon,False,2026-08-06T13:13:14.947897Z,REF-4558,GB,52.4862,-1.8904,
syn_c9670c85,SYNTH-019,281.92,Amazon,False,2026-08-06T13:31:05.947897Z,REF-9854,GB,52.4862,-1.8904,
syn_spk_5c952232,SYNTH-015,9993.55,Luxury Goods Inc,True,2026-08-06T13:47:20.947897Z,REF-1682,GB,51.5074,-0.1278,amount_spike
syn_831604e6,SYNTH-013,340.74,EE,False,2026-08-06T14:38:52.947897Z,REF-5777,GB,53.4808,-2.2426,
syn_900b6fc6,SYNTH-017,436.79,Amazon,True,2026-08-06T17:26:50.947897Z,REF-6023,DE,52.52,13.405,
syn_84ce26df,SYNTH-016,278.9,Tesco,False,2026-08-06T17:35:27.947897Z,REF-9009,DE,52.52,13.405,
syn_e0fe1b03,SYNTH-029,299.51,Vodafone,False,2026-08-06T18:07:56.947897Z,REF-2420,GB,51.5074,-0.1278,
syn_spk_238df2c1,SYNTH-007,8736.33,Luxury Goods Inc,True,2026-08-06T18:54:42.947897Z,REF-6481,GB,53.4808,-2.2426,amount_spike
syn_deec8c24,SYNTH-029,482.96,Deliveroo,False,2026-08-06T19:47:38.947897Z,REF-1021,GB,52.4862,-1.8904,
syn_16b90ec8,SYNTH-013,211.96,Amazon,False,2026-08-07T10:09:35.947897Z,REF-8616,GB,51.5074,-0.1278,
syn_4d218742,SYNTH-015,20.45,Uber,False,2026-08-07T12:54:57.947897Z,REF-4228,GB,52.4862,-1.8904,
syn_b6194cec,SYNTH-025,433.11,Amazon,False,2026-08-07T16:34:28.947897Z,REF-7991,GB,53.4808,-2.2426,
syn_4f3b574d,SYNTH-028,60.07,Spotify,False,2026-08-08T08:19:00.947897Z,REF-6310,FR,48.8566,2.3522,
syn_2154f992,SYNTH-014,56.6,Amazon,False,2026-08-08T12:22:59.947897Z,REF-5911,DE,52.52,13.405,
syn_bedb685b,SYNTH-010,391.23,O2,False,2026-08-08T16:09:04.947897Z,REF-4511,FR,48.8566,2.3522,
syn_51965221,SYNTH-009,45.91,EE,False,2026-08-08T16:12:53.947897Z,REF-5269,FR,48.8566,2.3522,
syn_6f71212c,SYNTH-026,144.35,EE,False,2026-08-08T17:36:32.947897Z,REF-6330,GB,53.4808,-2.2426,
syn_b22fc30c,SYNTH-010,357.3,EE,False,2026-08-08T20:07:59.947897Z,REF-5823,FR,48.8566,2.3522,
syn_9e233633,SYNTH-026,289.06,Netflix,False,2026-08-09T08:14:38.947897Z,REF-2019,GB,52.4862,-1.8904,
syn_575b359d,SYNTH-014,484.98,EE,True,2026-08-09T08:32:40.947897Z,REF-5336,DE,52.52,13.405,
syn_c0619324,SYNTH-004,446.71,Deliveroo,True,2026-08-09T08:41:23.947897Z,REF-7287,GB,51.5074,-0.1278,
syn_d08ce50b,SYNTH-011,437.25,Netflix,False,2026-08-09T10:21:32.947897Z,REF-3679,FR,48.8566,2.3522,
syn_it1_8607bb9e,SYNTH-021,127.1,Spotify,False,2026-08-09T11:20:46.947897Z,REF-9617,JP,35.6762,139.6503,impossible_travel
syn_it2_64b922a5,SYNTH-021,71.1,Vodafone,False,2026-08-09T11:29:46.947897Z,REF-2375,IN,22.5726,88.3639,impossible_travel
syn_17358a5f,SYNTH-013,195.22,O2,False,2026-08-09T11:41:41.947897Z,REF-1425,FR,48.8566,2.3522,
syn_5bd0b5b4,SYNTH-021,129.83,Spotify,False,2026-08-09T12:08:53.947897Z,REF-9171,GB,51.5074,-0.1278,
syn_spk_2329c0f5,SYNTH-013,5673.59,Luxury Goods Inc,True,2026-08-09T13:52:22.947897Z,REF-7345,GB,52.4862,-1.8904,amount_spike
syn_00224e16,SYNTH-014,398.24,Amazon,False,2026-08-09T14:24:08.947897Z,REF-6224,GB,52.4862,-1.8904,
syn_34a7401e,SYNTH-012,196.32,Netflix,False,2026-08-09T15:45:12.947897Z,REF-3486,GB,51.5074,-0.1278,
syn_03fe2f53,SYNTH-016,75.84,EE,False,2026-08-09T17:45:33.947897Z,REF-2058,FR,48.8566,2.3522,
syn_d46f2bf0,SYNTH-007,206.44,O2,False,2026-08-09T18:38:05.947897Z,REF-8223,FR,48.8566,2.3522,
syn_5a6c5235,SYNTH-021,233.52,Amazon,False,2026-08-09T19:53:22.947897Z,REF-9933,GB,52.4862,-1.8904,
syn_263d6d4d,SYNTH-016,36.39,Sainsburys,False,2026-08-09T20:10:19.947897Z,REF-9478,FR,48.8566,2.3522,
syn_b3c3223e,SYNTH-003,36.13,Netflix,False,2026-08-10T08:07:47.947897Z,REF-4072,GB,51.5074,-0.1278,
syn_bdb13b1d,SYNTH-005,299.36,O2,False,2026-08-10T08:47:33.947897Z,REF-6828,GB,51.5074,-0.1278,
syn_f080362e,SYNTH-011,106.37,EE,False,2026-08-10T09:14:23.947897Z,REF-9594,GB,51.5074,-0.1278,
syn_b55919be,SYNTH-023,286.79,Amazon,False,2026-08-10T09:37:06.947897Z,REF-8264,FR,48.8566,2.3522,
syn_b8204ddc,SYNTH-013,56.08,Sainsburys,False,2026-08-10T10:38:45.947897Z,REF-3975,GB,51.5074,-0.1278,
syn_20aa23b1,SYNTH-009,60.87,Sainsburys,False,2026-08-10T11:22:08.947897Z,REF-2068,GB,53.4808,-2.2426,
syn_8f3fa410,SYNTH-024,239.92,O2,False,2026-08-10T11:37:34.947897Z,REF-1632,GB,53.4808,-2.2426,
syn_4c28f220,SYNTH-015,61.19,Amazon,False,2026-08-10T13:47:51.947897Z,REF-7526,GB,52.4862,-1.8904,
syn_spk_3ff5e7f6,SYNTH-026,8025.96,Luxury Goods Inc,True,2026-08-10T16:06:32.947897Z,REF-6039,GB,51.5074,-0.1278,amount_spike
syn_22361206,SYNTH-029,345.97,Netflix,False,2026-08-10T16:37:40.947897Z,REF-6659,GB,51.5074,-0.1278,
syn_it1_ebf23127,SYNTH-012,84.79,Deliveroo,False,2026-08-11T11:32:39.947897Z,REF-9050,JP,35.6762,139.6503,impossible_travel
syn_it2_2254a418,SYNTH-012,59.0,Spotify,False,2026-08-11T11:41:39.947897Z,REF-4045,IN,22.5726,88.3639,impossible_travel
syn_2fc894ca,SYNTH-026,422.9,Netflix,False,2026-08-11T13:30:22.947897Z,REF-1592,FR,48.8566,2.3522,
syn_7665e742,SYNTH-023,438.77,Spotify,False,2026-08-11T17:31:51.947897Z,REF-5109,DE,52.52,13.405,
syn_fffbd518,SYNTH-019,142.35,Tesco,False,2026-08-11T19:05:30.947897Z,REF-5919,GB,53.4808,-2.2426,
syn_4862f984,SYNTH-021,369.4,Sainsburys,False,2026-08-12T10:40:09.947897Z,REF-6015,FR,48.8566,2.3522,
syn_8b6ca9b5,SYNTH-013,421.35,Sainsburys,False,2026-08-12T10:59:45.947897Z,REF-4908,GB,52.4862,-1.8904,
syn_vel_842ae075,SYNTH-021,41.83,EE,False,2026-08-12T11:05:58.947897Z,REF-3346,GB,53.4808,-2.2426,velocity_burst
syn_vel_1de15464,SYNTH-021,80.95,Vodafone,False,2026-08-12T11:06:58.947897Z,REF-1229,GB,53.4808,-2.2426,velocity_burst
syn_vel_2d330887,SYNTH-021,48.13,O2,False,2026-08-12T11:07:58.947897Z,REF-1937,GB,53.4808,-2.2426,velocity_burst
syn_vel_f3edb624,SYNTH-021,36.56,Spotify,False,2026-08-12T11:08:58.947897Z,REF-4284,GB,53.4808,-2.2426,velocity_burst
syn_vel_d779aa30,SYNTH-021,95.94,Vodafone,False,2026-08-12T11:09:58.947897Z,REF-7732,GB,53.4808,-2.2426,velocity_burst
syn_1a165588,SYNTH-016,355.59,Deliveroo,True,2026-08-12T11:17:59.947897Z,REF-3940,GB,53.4808,-2.2426,
syn_d0b2ee9f,SYNTH-007,225.36,Netflix,False,2026-08-12T11:22:40.947897Z,REF-8374,DE,52.52,13.405,
syn_4506cf06,SYNTH-001,141.12,O2,False,2026-08-12T11:51:43.947897Z,REF-2793,FR,48.8566,2.3522,
syn_92fbe391,SYNTH-018,225.43,Uber,False,2026-08-12T12:17:46.947897Z,REF-6374,GB,52.4862,-1.8904,
syn_74e787f0,SYNTH-012,374.07,Deliveroo,False,2026-08-12T13:31:01.947897Z,REF-4145,GB,51.5074,-0.1278,
syn_f705270e,SYNTH-013,412.06,Netflix,False,2026-08-12T14:43:38.947897Z,REF-6446,GB,53.4808,-2.2426,
syn_a5509bb5,SYNTH-025,231.14,Spotify,False,2026-08-12T18:57:48.947897Z,REF-3572,FR,48.8566,2.3522,
syn_a4fb1cdb,SYNTH-013,125.68,Vodafone,False,2026-08-12T20:17:39.947897Z,REF-2942,GB,52.4862,-1.8904,
syn_93dd36f5,SYNTH-028,490.76,Netflix,False,2026-08-12T20:31:58.947897Z,REF-8543,GB,53.4808,-2.2426,
syn_vel_1ea2007f,SYNTH-029,34.53,Uber,False,2026-08-13T09:05:21.947897Z,REF-1605,FR,48.8566,2.3522,velocity_burst
syn_vel_71e0ce43,SYNTH-029,51.46,EE,False,2026-08-13T09:06:21.947897Z,REF-5152,FR,48.8566,2.3522,velocity_burst
syn_vel_6ef4f7f3,SYNTH-029,29.52,Vodafone,False,2026-08-13T09:07:21.947897Z,REF-9908,FR,48.8566,2.3522,velocity_burst
syn_vel_6fad5761,SYNTH-029,63.3,Vodafone,False,2026-08-13T09:08:21.947897Z,REF-5692,FR,48.8566,2.3522,velocity_burst
syn_vel_437dceb9,SYNTH-029,96.45,Netflix,False,2026-08-13T09:09:21.947897Z,REF-3850,FR,48.8566,2.3522,velocity_burst
syn_eb61d603,SYNTH-023,206.56,Spotify,False,2026-08-13T15:13:17.947897Z,REF-8542,GB,53.4808,-2.2426,
syn_92815fa8,SYNTH-023,157.81,Deliveroo,False,2026-08-13T15:35:54.947897Z,REF-5749,GB,51.5074,-0.1278,
syn_f0f8bd40,SYNTH-023,127.0,Vodafone,False,2026-08-13T17:50:00.947897Z,REF-8279,DE,52.52,13.405,
syn_83975904,SYNTH-005,13.62,Tesco,False,2026-08-13T17:58:00.947897Z,REF-2092,DE,52.52,13.405,
syn_11f48a4e,SYNTH-002,246.18,Sainsburys,False,2026-08-13T18:41:16.947897Z,REF-7286,DE,52.52,13.405,
